Provincias;Periodo;Total
Total;2007M11;32.723
Total;2007M10;30.733
Total;2007M09;27.767
Total;2007M08;29.343
Total;2007M07;29.954
Total;2007M06;29.081
Total;2007M05;30.857
Total;2007M04;31.920
Total;2007M03;34.049
Total;2007M02;34.226
Total;2007M01;38.650
Total;2006M12;34.511
Total;2006M11;29.811
Total;2006M10;29.548
Total;2006M09;28.006
Total;2006M08;28.966
Total;2006M07;31.603
Total;2006M06;28.618
Total;2006M05;29.966
Total;2006M04;29.716
Total;2006M03;33.895
Total;2006M02;31.464
Total;2006M01;35.374
Total;2005M12;33.981
Total;2005M11;29.657
Total;2005M10;29.144
Total;2005M09;26.456
Total;2005M08;27.687
Total;2005M07;28.647
Total;2005M06;28.559
Total;2005M05;29.837
Total;2005M04;30.311
Total;2005M03;37.528
Total;2005M02;37.467
Total;2005M01;48.081
Total;2004M12;35.744
Total;2004M11;30.941
Total;2004M10;29.896
Total;2004M09;26.830
Total;2004M08;28.895
Total;2004M07;29.360
Total;2004M06;28.163
Total;2004M05;30.218
Total;2004M04;30.515
Total;2004M03;33.655
Total;2004M02;31.233
Total;2004M01;36.484
Total;2003M12;36.161
Total;2003M11;32.370
Total;2003M10;29.859
Total;2003M09;27.569
Total;2003M08;34.729
Total;2003M07;31.288
Total;2003M06;31.816
Total;2003M05;30.332
Total;2003M04;30.596
Total;2003M03;32.431
Total;2003M02;31.863
Total;2003M01;35.814
Total;2002M12;32.988
Total;2002M11;29.275
Total;2002M10;29.112
Total;2002M09;26.486
Total;2002M08;27.270
Total;2002M07;28.793
Total;2002M06;28.851
Total;2002M05;29.044
Total;2002M04;30.379
Total;2002M03;33.129
Total;2002M02;33.242
Total;2002M01;40.049
Total;2001M12;35.122
Total;2001M11;30.211
Total;2001M10;28.770
Total;2001M09;26.314
Total;2001M08;29.887
Total;2001M07;29.056
Total;2001M06;28.599
Total;2001M05;30.478
Total;2001M04;28.799
Total;2001M03;31.221
Total;2001M02;29.053
Total;2001M01;32.621
Total;2000M12;30.663
Total;2000M11;29.113
Total;2000M10;28.793
Total;2000M09;25.686
Total;2000M08;27.875
Total;2000M07;27.960
Total;2000M06;27.470
Total;2000M05;28.493
Total;2000M04;29.357
Total;2000M03;30.212
Total;2000M02;32.201
Total;2000M01;42.568
Total;1999M12;33.914
Total;1999M11;29.342
Total;1999M10;28.039
Total;1999M09;25.750
Total;1999M08;27.995
Total;1999M07;28.160
Total;1999M06;25.938
Total;1999M05;28.011
Total;1999M04;28.878
Total;1999M03;34.486
Total;1999M02;39.898
Total;1999M01;40.691
Total;1998M12;34.374
Total;1998M11;27.844
Total;1998M10;28.296
Total;1998M09;25.553
Total;1998M08;28.211
Total;1998M07;28.785
Total;1998M06;26.791
Total;1998M05;28.276
Total;1998M04;28.957
Total;1998M03;33.595
Total;1998M02;34.733
Total;1998M01;35.096
Total;1997M12;31.652
Total;1997M11;28.498
Total;1997M10;26.782
Total;1997M09;25.300
Total;1997M08;27.763
Total;1997M07;27.079
Total;1997M06;25.867
Total;1997M05;27.761
Total;1997M04;28.496
Total;1997M03;31.066
Total;1997M02;30.320
Total;1997M01;38.937
Total;1996M12;34.106
Total;1996M11;28.994
Total;1996M10;27.876
Total;1996M09;25.872
Total;1996M08;26.483
Total;1996M07;28.140
Total;1996M06;26.829
Total;1996M05;28.249
Total;1996M04;28.092
Total;1996M03;32.510
Total;1996M02;30.515
Total;1996M01;33.783
Total;1995M12;34.309
Total;1995M11;27.316
Total;1995M10;26.990
Total;1995M09;25.159
Total;1995M08;26.989
Total;1995M07;29.164
Total;1995M06;25.542
Total;1995M05;27.481
Total;1995M04;28.486
Total;1995M03;31.853
Total;1995M02;29.151
Total;1995M01;33.787
Total;1994M12;29.967
Total;1994M11;26.756
Total;1994M10;27.295
Total;1994M09;24.731
Total;1994M08;27.408
Total;1994M07;29.468
Total;1994M06;25.350
Total;1994M05;26.746
Total;1994M04;26.991
Total;1994M03;28.590
Total;1994M02;29.616
Total;1994M01;35.324
Total;1993M12;32.030
Total;1993M11;27.570
Total;1993M10;27.790
Total;1993M09;24.244
Total;1993M08;26.464
Total;1993M07;26.138
Total;1993M06;25.342
Total;1993M05;26.546
Total;1993M04;27.840
Total;1993M03;33.489
Total;1993M02;29.599
Total;1993M01;32.609
Total;1992M12;28.803
Total;1992M11;26.302
Total;1992M10;27.181
Total;1992M09;23.512
Total;1992M08;26.364
Total;1992M07;26.827
Total;1992M06;24.339
Total;1992M05;26.214
Total;1992M04;27.123
Total;1992M03;29.175
Total;1992M02;30.351
Total;1992M01;35.324
Total;1991M12;30.760
Total;1991M11;27.681
Total;1991M10;27.013
Total;1991M09;23.741
Total;1991M08;26.545
Total;1991M07;27.716
Total;1991M06;25.130
Total;1991M05;27.570
Total;1991M04;27.321
Total;1991M03;30.995
Total;1991M02;30.888
Total;1991M01;32.331
Total;1990M12;32.838
Total;1990M11;26.710
Total;1990M10;25.741
Total;1990M09;23.722
Total;1990M08;25.898
Total;1990M07;27.758
Total;1990M06;24.319
Total;1990M05;25.728
Total;1990M04;26.607
Total;1990M03;28.299
Total;1990M02;29.529
Total;1990M01;35.993
Total;1989M12;28.495
Total;1989M11;26.078
Total;1989M10;25.431
Total;1989M09;23.499
Total;1989M08;26.430
Total;1989M07;27.615
Total;1989M06;25.244
Total;1989M05;26.165
Total;1989M04;26.030
Total;1989M03;27.857
Total;1989M02;28.243
Total;1989M01;33.709
Total;1988M12;32.822
Total;1988M11;25.853
Total;1988M10;24.945
Total;1988M09;23.773
Total;1988M08;25.825
Total;1988M07;25.722
Total;1988M06;23.729
Total;1988M05;24.958
Total;1988M04;25.585
Total;1988M03;30.566
Total;1988M02;26.656
Total;1988M01;29.003
Total;1987M12;28.534
Total;1987M11;25.769
Total;1987M10;25.415
Total;1987M09;23.122
Total;1987M08;25.290
Total;1987M07;24.444
Total;1987M06;23.502
Total;1987M05;24.272
Total;1987M04;25.043
Total;1987M03;26.256
Total;1987M02;26.225
Total;1987M01;32.201
Total;1986M12;27.804
Total;1986M11;25.390
Total;1986M10;23.267
Total;1986M09;22.087
Total;1986M08;23.151
Total;1986M07;23.935
Total;1986M06;22.689
Total;1986M05;24.858
Total;1986M04;25.696
Total;1986M03;27.248
Total;1986M02;29.453
Total;1986M01;34.835
Total;1985M12;31.421
Total;1985M11;26.379
Total;1985M10;23.354
Total;1985M09;21.999
Total;1985M08;23.442
Total;1985M07;24.912
Total;1985M06;22.901
Total;1985M05;25.123
Total;1985M04;25.741
Total;1985M03;28.391
Total;1985M02;25.537
Total;1985M01;33.332
Total;1984M12;26.901
Total;1984M11;24.294
Total;1984M10;24.023
Total;1984M09;21.416
Total;1984M08;22.384
Total;1984M07;24.268
Total;1984M06;23.575
Total;1984M05;24.006
Total;1984M04;25.212
Total;1984M03;29.363
Total;1984M02;25.792
Total;1984M01;28.175
Total;1983M12;27.381
Total;1983M11;24.072
Total;1983M10;22.015
Total;1983M09;21.315
Total;1983M08;21.832
Total;1983M07;23.441
Total;1983M06;22.439
Total;1983M05;23.610
Total;1983M04;23.567
Total;1983M03;26.290
Total;1983M02;31.176
Total;1983M01;35.431
Total;1982M12;29.897
Total;1982M11;24.280
Total;1982M10;23.369
Total;1982M09;19.822
Total;1982M08;22.179
Total;1982M07;23.643
Total;1982M06;22.033
Total;1982M05;23.301
Total;1982M04;23.022
Total;1982M03;24.814
Total;1982M02;24.198
Total;1982M01;26.097
Total;1981M12;26.387
Total;1981M11;22.974
Total;1981M10;22.334
Total;1981M09;19.952
Total;1981M08;21.346
Total;1981M07;22.307
Total;1981M06;23.403
Total;1981M05;23.174
Total;1981M04;22.857
Total;1981M03;26.401
Total;1981M02;26.746
Total;1981M01;35.505
Total;1980M12;32.163
Total;1980M11;23.819
Total;1980M10;22.852
Total;1980M09;21.020
Total;1980M08;22.735
Total;1980M07;22.117
Total;1980M06;21.495
Total;1980M05;22.781
Total;1980M04;22.500
Total;1980M03;25.275
Total;1980M02;23.906
Total;1980M01;28.681
Total;1979M12;27.059
Total;1979M11;24.367
Total;1979M10;22.864
Total;1979M09;20.880
Total;1979M08;23.396
Total;1979M07;23.329
Total;1979M06;21.679
Total;1979M05;23.724
Total;1979M04;24.287
Total;1979M03;26.739
Total;1979M02;24.858
Total;1979M01;28.031
Total;1978M12;28.818
Total;1978M11;24.026
Total;1978M10;23.057
Total;1978M09;20.902
Total;1978M08;22.712
Total;1978M07;24.463
Total;1978M06;21.841
Total;1978M05;23.694
Total;1978M04;24.365
Total;1978M03;26.762
Total;1978M02;27.220
Total;1978M01;28.921
Total;1977M12;27.739
Total;1977M11;23.651
Total;1977M10;22.166
Total;1977M09;21.188
Total;1977M08;21.617
Total;1977M07;21.506
Total;1977M06;21.750
Total;1977M05;24.241
Total;1977M04;29.218
Total;1977M03;27.726
Total;1977M02;24.413
Total;1977M01;29.109
Total;1976M12;27.192
Total;1976M11;25.197
Total;1976M10;22.339
Total;1976M09;20.542
Total;1976M08;22.108
Total;1976M07;21.919
Total;1976M06;21.933
Total;1976M05;24.550
Total;1976M04;25.687
Total;1976M03;28.239
Total;1976M02;27.966
Total;1976M01;31.335
Total;1975M12;28.580
Total;1975M11;23.748
Total;1975M10;22.680
Total;1975M09;20.880
Total;1975M08;22.426
Total;1975M07;23.487
Total;1975M06;21.942
Total;1975M05;23.302
Total;1975M04;24.382
Total;1975M03;26.188
Total;1975M02;24.562
Total;1975M01;36.015
